Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , COGS , Profit ,Date, Month Name ,Year
Government,Canada, VTT , Low ," $1,326.00 ", $250.00 , $7.00 ," $9,282.00 "," $6,630.00 "," $2,559.18 ",03-01-2014, March ,2014
Channel Partners,Canada, Carretera , Low ," $1,445.00 ", $3.00 , $12.00 ," $17,340.00 "," $4,335.00 "," $12,831.60 ",09-01-2014, September ,2014
Government,Canada, Montana , Low ," $1,830.00 ", $5.00 , $7.00 ," $12,810.00 "," $9,150.00 "," $3,531.90 ",08-01-2014, August ,2014
Enterprise,Canada, Velo , Low , $923.00 , $120.00 , $125.00 ," $115,375.00 "," $110,760.00 "," $3,461.25 ",08-01-2014, August ,2014
Government,Canada, Velo , Low ," $2,092.00 ", $120.00 , $7.00 ," $14,644.00 "," $10,460.00 "," $4,037.56 ",11-01-2013, November ,2013
Government,Canada, VTT , Low , $943.50 , $250.00 , $350.00 ," $330,225.00 "," $245,310.00 "," $81,612.75 ",04-01-2014, April ,2014
Enterprise,Canada, Carretera , Low , $742.50 , $3.00 , $125.00 ," $92,812.50 "," $89,100.00 "," $1,856.25 ",04-01-2014, April ,2014
Channel Partners,Canada, Carretera , Low ," $1,295.00 ", $3.00 , $12.00 ," $15,540.00 "," $3,885.00 "," $11,344.20 ",10-01-2014, October ,2014
Government,Canada, Carretera , Low ," $2,852.00 ", $3.00 , $350.00 ," $998,200.00 "," $741,520.00 "," $236,716.00 ",12-01-2014, December ,2014
Midmarket,Canada, Paseo , Low ," $2,363.00 ", $10.00 , $15.00 ," $35,445.00 "," $23,630.00 "," $11,106.10 ",02-01-2014, February ,2014
Channel Partners,Canada, Paseo , Low ," $1,295.00 ", $10.00 , $12.00 ," $15,540.00 "," $3,885.00 "," $11,344.20 ",10-01-2014, October ,2014
Small Business,Canada, Paseo , Low ," $1,916.00 ", $10.00 , $300.00 ," $574,800.00 "," $479,000.00 "," $84,304.00 ",12-01-2014, December ,2014
Government,Canada, Paseo , Low ," $2,852.00 ", $10.00 , $350.00 ," $998,200.00 "," $741,520.00 "," $236,716.00 ",12-01-2014, December ,2014
Enterprise,Canada, Paseo , Low ," $2,729.00 ", $10.00 , $125.00 ," $341,125.00 "," $327,480.00 "," $6,822.50 ",12-01-2014, December ,2014
Enterprise,Canada, VTT , Low ," $2,729.00 ", $250.00 , $125.00 ," $341,125.00 "," $327,480.00 "," $6,822.50 ",12-01-2014, December ,2014
Small Business,Canada, Amarilla , Low ," $1,916.00 ", $260.00 , $300.00 ," $574,800.00 "," $479,000.00 "," $84,304.00 ",12-01-2014, December ,2014
Channel Partners,Canada, Carretera , Low , $908.00 , $3.00 , $12.00 ," $10,896.00 "," $2,724.00 "," $7,845.12 ",12-01-2013, December ,2013
Enterprise,Canada, Paseo , Low ," $1,774.00 ", $10.00 , $125.00 ," $221,750.00 "," $212,880.00 "," $2,217.50 ",03-01-2014, March ,2014
Enterprise,Canada, Paseo , Low ," $2,009.00 ", $10.00 , $125.00 ," $251,125.00 "," $241,080.00 "," $2,511.25 ",10-01-2014, October ,2014
Enterprise,Canada, Velo , Low ," $2,009.00 ", $120.00 , $125.00 ," $251,125.00 "," $241,080.00 "," $2,511.25 ",10-01-2014, October ,2014
Small Business,Canada, VTT , Low ," $1,874.00 ", $250.00 , $300.00 ," $562,200.00 "," $468,500.00 "," $76,834.00 ",08-01-2014, August ,2014
Government,Canada, Carretera , Low , $831.00 , $3.00 , $20.00 ," $16,620.00 "," $8,310.00 "," $7,811.40 ",05-01-2014, May ,2014
Government,Canada, Velo , Low ," $3,850.50 ", $120.00 , $20.00 ," $77,010.00 "," $38,505.00 "," $36,194.70 ",04-01-2014, April ,2014
Government,Canada, Carretera , Low ," $2,851.00 ", $3.00 , $7.00 ," $19,957.00 "," $14,255.00 "," $4,903.72 ",10-01-2013, October ,2013
Midmarket,Canada, Montana , Low ," $1,967.00 ", $5.00 , $15.00 ," $29,505.00 "," $19,670.00 "," $8,654.80 ",03-01-2014, March ,2014
Government,Canada, Montana , Low ," $2,851.00 ", $5.00 , $7.00 ," $19,957.00 "," $14,255.00 "," $4,903.72 ",10-01-2013, October ,2013
Government,Canada, Paseo , Low ," $4,251.00 ", $10.00 , $7.00 ," $29,757.00 "," $21,255.00 "," $7,311.72 ",01-01-2014, January ,2014
Midmarket,Canada, Paseo , Low , $218.00 , $10.00 , $15.00 ," $3,270.00 "," $2,180.00 ", $959.20 ,09-01-2014, September ,2014
Government,Canada, Paseo , Low ," $2,074.00 ", $10.00 , $20.00 ," $41,480.00 "," $20,740.00 "," $19,080.80 ",09-01-2014, September ,2014
Government,Canada, Velo , Low ," $2,646.00 ", $120.00 , $20.00 ," $52,920.00 "," $26,460.00 "," $24,343.20 ",09-01-2013, September ,2013
Government,Canada, Amarilla , Low ," $1,778.00 ", $260.00 , $350.00 ," $622,300.00 "," $462,280.00 "," $135,128.00 ",12-01-2013, December ,2013
Government,Canada, Paseo , Medium ," $2,349.00 ", $10.00 , $7.00 ," $16,443.00 "," $11,745.00 "," $3,875.85 ",09-01-2013, September ,2013
Channel Partners,Canada, Paseo , Medium ," $2,431.00 ", $10.00 , $12.00 ," $29,172.00 "," $7,293.00 "," $20,420.40 ",12-01-2014, December ,2014
Channel Partners,Canada, Velo , Medium ," $2,431.00 ", $120.00 , $12.00 ," $29,172.00 "," $7,293.00 "," $20,420.40 ",12-01-2014, December ,2014
Government,Canada, Paseo , Medium ," $1,228.00 ", $10.00 , $350.00 ," $429,800.00 "," $319,280.00 "," $89,030.00 ",10-01-2013, October ,2013
Government,Canada, Paseo , Medium ," $1,389.00 ", $10.00 , $20.00 ," $27,780.00 "," $13,890.00 "," $12,501.00 ",10-01-2013, October ,2013
Government,Canada, Paseo , Medium ," $1,802.00 ", $10.00 , $20.00 ," $36,040.00 "," $18,020.00 "," $16,218.00 ",12-01-2013, December ,2013
Government,Canada, VTT , Medium ," $1,389.00 ", $250.00 , $20.00 ," $27,780.00 "," $13,890.00 "," $12,501.00 ",10-01-2013, October ,2013
Government,Canada, Amarilla , Medium , $552.00 , $260.00 , $350.00 ," $193,200.00 "," $143,520.00 "," $40,020.00 ",08-01-2014, August ,2014
Government,Canada, Amarilla , Medium ," $1,228.00 ", $260.00 , $350.00 ," $429,800.00 "," $319,280.00 "," $89,030.00 ",10-01-2013, October ,2013
Midmarket,Canada, Carretera , Medium ," $2,844.00 ", $3.00 , $15.00 ," $42,660.00 "," $28,440.00 "," $11,660.40 ",06-01-2014, June ,2014
Channel Partners,Canada, Carretera , Medium ," $2,299.00 ", $3.00 , $12.00 ," $27,588.00 "," $6,897.00 "," $19,035.72 ",10-01-2013, October ,2013
Channel Partners,Canada, Paseo , Medium ," $2,299.00 ", $10.00 , $12.00 ," $27,588.00 "," $6,897.00 "," $19,035.72 ",10-01-2013, October ,2013
Enterprise,Canada, Velo , Medium , $952.00 , $120.00 , $125.00 ," $119,000.00 "," $114,240.00 "," $(2,380.00)",02-01-2014, February ,2014
Midmarket,Canada, VTT , Medium ," $2,844.00 ", $250.00 , $15.00 ," $42,660.00 "," $28,440.00 "," $11,660.40 ",06-01-2014, June ,2014
Small Business,Canada, VTT , Medium ," $2,436.00 ", $250.00 , $300.00 ," $730,800.00 "," $609,000.00 "," $77,952.00 ",12-01-2013, December ,2013
Channel Partners,Canada, Carretera , Medium ," $1,884.00 ", $3.00 , $12.00 ," $22,608.00 "," $5,652.00 "," $15,373.44 ",08-01-2014, August ,2014
Midmarket,Canada, Velo , Medium ," $1,262.00 ", $120.00 , $15.00 ," $18,930.00 "," $12,620.00 "," $4,984.90 ",05-01-2014, May ,2014
Government,Canada, Velo , Medium ," $1,135.00 ", $120.00 , $7.00 ," $7,945.00 "," $5,675.00 "," $1,713.85 ",06-01-2014, June ,2014
Government,Canada, Velo , Medium ," $1,582.00 ", $120.00 , $7.00 ," $11,074.00 "," $7,910.00 "," $2,388.82 ",12-01-2014, December ,2014
Government,Canada, VTT , Medium ," $1,582.00 ", $250.00 , $7.00 ," $11,074.00 "," $7,910.00 "," $2,388.82 ",12-01-2014, December ,2014
Government,Canada, Amarilla , Medium ," $1,135.00 ", $260.00 , $7.00 ," $7,945.00 "," $5,675.00 "," $1,713.85 ",06-01-2014, June ,2014
Small Business,Canada, Paseo , Medium ," $1,702.00 ", $10.00 , $300.00 ," $510,600.00 "," $425,500.00 "," $49,358.00 ",05-01-2014, May ,2014
Small Business,Canada, Paseo , Medium ," $1,404.00 ", $10.00 , $300.00 ," $421,200.00 "," $351,000.00 "," $40,716.00 ",11-01-2013, November ,2013
Channel Partners,Canada, VTT , Medium ," $3,244.50 ", $250.00 , $12.00 ," $38,934.00 "," $9,733.50 "," $26,475.12 ",01-01-2014, January ,2014
Enterprise,Canada, Amarilla , Medium ," $1,645.00 ", $260.00 , $125.00 ," $205,625.00 "," $197,400.00 "," $(6,168.75)",05-01-2014, May ,2014
Government,Canada, Amarilla , Medium ," $1,118.00 ", $260.00 , $20.00 ," $22,360.00 "," $11,180.00 "," $9,614.80 ",11-01-2014, November ,2014
Government,Canada, Montana , Medium , $488.00 , $5.00 , $7.00 ," $3,416.00 "," $2,440.00 ", $702.72 ,02-01-2014, February ,2014
Government,Canada, Paseo , Medium , $257.00 , $10.00 , $7.00 ," $1,799.00 "," $1,285.00 ", $370.08 ,05-01-2014, May ,2014
Government,Canada, Montana , Medium , $708.00 , $5.00 , $20.00 ," $14,160.00 "," $7,080.00 "," $5,947.20 ",06-01-2014, June ,2014
Small Business,Canada, Montana , Medium ," $1,283.00 ", $5.00 , $300.00 ," $384,900.00 "," $320,750.00 "," $33,358.00 ",09-01-2013, September ,2013
Channel Partners,Canada, Velo , Medium , $598.00 , $120.00 , $12.00 ," $7,176.00 "," $1,794.00 "," $4,807.92 ",03-01-2014, March ,2014
Small Business,Canada, VTT , Medium ," $2,134.00 ", $250.00 , $300.00 ," $640,200.00 "," $533,500.00 "," $55,484.00 ",09-01-2014, September ,2014
Government,Canada, Amarilla , Medium , $708.00 , $260.00 , $20.00 ," $14,160.00 "," $7,080.00 "," $5,947.20 ",06-01-2014, June ,2014
Small Business,Canada, Carretera , Medium ," $1,094.00 ", $3.00 , $300.00 ," $328,200.00 "," $273,500.00 "," $25,162.00 ",06-01-2014, June ,2014
Small Business,Canada, Montana , Medium ," $3,802.50 ", $5.00 , $300.00 ," $1,140,750.00 "," $950,625.00 "," $87,457.50 ",04-01-2014, April ,2014
Channel Partners,Canada, Montana , Medium ," $2,321.00 ", $5.00 , $12.00 ," $27,852.00 "," $6,963.00 "," $18,382.32 ",11-01-2014, November ,2014
Government,Canada, Montana , Medium ," $1,611.00 ", $5.00 , $7.00 ," $11,277.00 "," $8,055.00 "," $2,207.07 ",12-01-2013, December ,2013
Small Business,Canada, Paseo , Medium ," $1,094.00 ", $10.00 , $300.00 ," $328,200.00 "," $273,500.00 "," $25,162.00 ",06-01-2014, June ,2014
Small Business,Canada, Velo , Medium ," $3,793.50 ", $120.00 , $300.00 ," $1,138,050.00 "," $948,375.00 "," $87,250.50 ",07-01-2014, July ,2014
